Nome da ferramenta,País de origem,Preparação da ficha técnica detalhada,Instituição Responsável,Finalidade da Ferramenta,Momento de atividade produtiva,Taxonomia de ferramentas (principal),Canais de acesso à informação,Tipologia dos Canais de Comunicação,Público-alvo principal,Âmbito de aplicação,Modelo de Acesso,Dimensão de interação,Natureza Institucional,Categoria da organização,Idioma de disponibilidade,Integração com o WhatsApp,Conectividade necessária,Nível de digitalização,Nível de abertura da ferramenta,Link,Descrição (resumo)
AcroSeeker™ (Japão),Internacional,Não,"Nihon Nohyaku Co., Ltd. e
NTT DATA CCS CORPORATION",Orientação Técnica,Durante,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.nichino.ai.diagnosis&hl=pt_BR,"O “AcroSeeker™” é uma ferramenta que utiliza inteligência artificial para ajudar a diagnosticar doenças, pragas e ervas daninhas que afetam suas plantas, além de fornecer informações sobre pesticidas eficazes para eliminá-las. Use seu dispositivo para fotografar os danos causados ​​por pragas ou ervas daninhas em sua plantação e, em seguida, toque no botão Diagnóstico por IA para diagnosticar o problema."
AgriAssist (Austrália),Internacional,Não,Niranjan Somashekar, Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Não,Transformação Digital,Acessível a terceiros,https://play.google.com/store/apps/details?id=app.agriassist.com,"AgriAssist: um aplicativo agrícola com inteligência artificial e funcionalidade offline. Desenvolvido para agricultores em áreas rurais com conectividade limitada, o AgriAssist combina conhecimento especializado, ferramentas de IA e recursos práticos de planejamento. Ele apresenta uma interface simples e multilíngue, guias, calculadoras e registros."
Efeitos colaterais do Agrobio,Internacional,Não,"AGROBIO SL
",Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Não,Digitalização,Acessível a terceiros,"https://www.agrobio.es/
https://play.google.com/store/apps/details?id=com.agrobio.efectos","Manual de efeitos colaterais para o uso integrado de pesticidas e organismos de controle biológico ou polinizadores na horticultura. O documento está traduzido para holandês, inglês, alemão e espanhol."
Instituição Educacional CropLife (Colômbia),Internacional,Não,CropLife América Latina,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Organização Internacional,Associação,Multilíngue,Não,Sim,Digitalização,Acessível a terceiros,"https://cursos.croplifela.org/pt/ 
https://play.google.com/store/apps/details?id=com.cursos_croplifela","O aplicativo educacional CropLife América Latina é uma plataforma de aprendizagem focada em treinamento em temas relacionados ao manejo de pragas e tecnologias de controle. Oferece cursos gratuitos em espanhol, inglês e português, além de vídeos e palestras, permitindo acesso flexível ao conteúdo via celular, em diferentes horários e locais. O aplicativo também permite que os usuários façam testes de conhecimento e recebam suporte para treinamento, auxiliando nos processos de capacitação e certificação."
Identificação de insetos: Identificador de insetos por IA (Chipre),Internacional,Não,Empresa Identificadora de Imagens e Fotos Ltda.,Orientação Técnica,Durante,Diagnóstico por Imagem e Identificação,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,"https://play.google.com/store/apps/details?id=com.niroapps.insects; 
https://apps.apple.com/us/app/bug-identifier-ai-insect-id/id1588031278","O aplicativo de Identificação de Insetos permite reconhecer insetos a partir de uma foto, utilizando inteligência artificial. A ferramenta consulta um amplo banco de imagens para auxiliar na identificação de diferentes espécies de insetos e aranhas, oferecendo suporte à observação e ao conhecimento da biodiversidade presente em áreas produtivas e no meio ambiente."
Portal de Bioproteção da CABI,Internacional,Não,CABI,Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Site,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Organização Internacional,ONG / OSC,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,https://bioprotectionportal.com/homepage/?pk_abe=BPP-Production-Site-HomePage-AB-test&pk_abv=homepage,"Uma ferramenta digital gratuita e acessível que reúne informações sobre produtos de biocontrole e biopesticidas registrados em diferentes países. A plataforma permite aos usuários consultar dados técnicos para identificar e utilizar esses produtos adequadamente, sem a necessidade de gestão agrícola. Atualmente, está disponível online, com planos para uma versão offline."
Compêndio CABI: Proteção de Cultivos,Internacional,Não,CABI,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Ambos,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Organização Internacional,ONG / OSC,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,https://www.cabidigitallibrary.org/product/QC,"Este canal reúne informações técnicas sobre práticas agrícolas e temas relacionados à saúde vegetal, com o objetivo de apoiar a consulta e a tomada de decisões. O conhecimento de âmbito global é atualizado regularmente com novas evidências científicas e dados produzidos por organizações especializadas."
Códice Alimentarius,Internacional,Não,FAO,Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Site,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Organização Internacional,Organização Internacional,Multilíngue,Não,Sim,Digitação,Acessível a terceiros,https://www.fao.org/fao-who-codexalimentarius/codex-texts/dbs/pestres/pesticides/en/,"Reúna normas e textos relacionados à segurança alimentar. A página apresenta um índice de pesticidas, onde é possível consultar informações sobre os usos autorizados de cada substância, com base em normas internacionalmente aprovadas pela FAO e pela OMS."
Di@gnoPlant Tomate (França),Internacional,Não,INRAE,Orientação Técnica,Durante,Diagnóstico por Imagem e Identificação,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Não,Transformação Digital,Acessível a terceiros,https://apps.apple.com/us/app/di-gnoplant-tomate/id488120582,"Uma aplicação desenvolvida pelo INRA para identificar doenças e pragas do tomateiro em campo aberto e em ambientes protegidos. A ferramenta permite o reconhecimento visual de diversos problemas que afetam a cultura, utilizando sequências de imagens para auxiliar na identificação gradual das possíveis causas, sejam elas parasitárias ou não, contribuindo assim para o diagnóstico técnico no manejo da cultura."
Sistema de Alerta e Monitoramento Precoce de Lagarta-do-Cartucho (FAMEWS),Internacional,Não,FAO,Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Organização Internacional,Organização Internacional,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,https://apps.apple.com/us/app/famews/id1476559185,"Um aplicativo móvel desenvolvido pela FAO para implementar o monitoramento de Praga em diferentes regiões. A ferramenta permite o registro padronizado de observações de campo por agricultores, extensionistas rurais e outras partes interessadas, contribuindo para o monitoramento do programa de remediação de larvas de berne e para a geração de informações de alerta precoce em níveis local e global."
Academia de e-learning da FAO,Internacional,Não,FAO,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Organização Internacional,Organização Internacional,Multilíngue,Não,Sim,Digitalização,Acessível a terceiros,https://elearning.fao.org/?lang=em,"Uma plataforma de ensino a distância que reúne conteúdo de treinamento gratuito em diferentes idiomas. Os cursos podem ser concluídos no ritmo do participante, com acesso online ou materiais para download, apoiando o aprendizado em diversos tópicos de acordo com as necessidades e interesses individuais."
FAO Gafanhoto PMS (Itália),Internacional,Não,FAO,Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Organização Internacional,Organização Internacional,Multilíngue,Não,Sim,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=org.fao.locust_pms,"Sistema de Gestão de Pesticidas da FAO para o Controle de Gafanhotos, visando facilitar o gerenciamento de pesticidas e equipamentos utilizados sem o devido controle da praga."
FarmBetter – Aplicativo para Agentes de Extensão (Reino Unido),Internacional,Não,"Farmbetter Ltda.


",Comunicação,Durante,"Conteúdo, Educação e Redes Sociais",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Organização Internacional,ONG / OSC,Multilíngue,Não,,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=io.farmbetter.farmbetter_extension_agent_app,"Aplicativo voltado para o trabalho de extensionistas rurais e agentes de campo. A ferramenta permite o cadastro de informações dos agricultores, visitas técnicas, coleta de dados de produção e monitoramento das atividades realizadas nas propriedades. O aplicativo apoia a organização do trabalho de extensão rural, facilitando o suporte aos produtores e a sistematização das informações coletadas em campo."
FarmXtension Cocoa Global (Indonésia),Internacional,Não,PT. KOLTIVA,Comercialização,Antes ,"Gestão de Documentos, Certificações, Registros e Regularização",Aplicativo,Meios de comunicação de massa,Produtor,Específico (cacau),Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.nestle.cocoatrace,"CocoaTrace é um aplicativo desenvolvido para monitorar e rastrear o ciclo de produção do cacau. A ferramenta permite que os usuários registrem informações sobre produtores, produção e comercialização, contribuindo para o monitoramento das atividades no campo e promovendo a transparência em toda a cadeia produtiva."
Meteobot (Bulgária),Internacional,Não,Prointegra Ood,Orientação Técnica,Durante,"Meteorologia, Clima e Irrigação",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Freemium,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,https://play.google.com/store/apps/details?id=biz.prointegra.meteobot; https://apps.apple.com/gb/app/meteobot/id1266582375,Aplicativo de estação meteorológica que requer informações em tempo real sobre as condições climáticas e somente em áreas cultivadas.
Pesticidas e Alternativas (Itália),Internacional,Não,Aliança ISEAL,Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Sim,Digitalização,Acessível a terceiros,https://apps.apple.com/us/app/pesticides-alternatives/id1461460997,"Uma ferramenta multilíngue desenvolvida para auxiliar no controle de pragas com menor impacto ambiental e na saúde humana. O aplicativo destina-se a auditores e tomadores de decisão que atuam em propriedades rurais, áreas agrícolas e florestais. A ferramenta permite aos usuários consultar informações sobre a toxicidade de pesticidas com base em dados de autoridades governamentais, acordos internacionais e instituições acadêmicas; verificar o status de restrição de mais de 700 ingredientes ativos de acordo com diversos sistemas e normas de certificação; acessar listas de pesticidas registrados por cultura e praga no México e na Índia, e por cultura no Brasil, na Colômbia e no Quênia; e consultar alternativas não químicas para o controle de quase 2.700 pragas e doenças com base em informações da CABI, incluindo acesso ao PlantWise. O aplicativo também está disponível com interface e conteúdo em inglês, espanhol e português."
PictureThis Identificar Planta (Hong Kong),Internacional,Sim,Glority Global Group Limited,Orientação Técnica,Durante,Diagnóstico por Imagem e Identificação,Aplicativo,Meios de comunicação de massa,Ambos,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,https://play.google.com/store/apps/details?id=cn.danatech.xingseus,"Uma ferramenta digital de alta precisão para identificação de plantas, capaz de reconhecer um grande número de espécies diariamente. Permite aos usuários identificar flores, árvores, suculentas e outras plantas, oferecendo informações descritivas, imagens e orientações básicas de cuidado. Esta ferramenta pode ser utilizada tanto por especialistas quanto por iniciantes, auxiliando no aprendizado e cuidado com plantas e jardins."
Identificador de Doenças Vegetais (China),Internacional,Sim,Aleksei Metelkin,Orientação Técnica,Durante,Diagnóstico por Imagem e Identificação,Aplicativo,Meios de comunicação de massa,Ambos,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,https://apps.apple.com/us/app/plant-disease-identifier/id1550499292,"Este aplicativo, baseado em técnicas de visão computacional e aprendizado de máquina, foi desenvolvido para identificar manchas foliares em plantas a partir de imagens de folhas com sintomas visuais. A ferramenta coleta informações sobre mais de 300 espécies de plantas e fornece orientações gerais sobre possíveis estratégias de manejo e tratamento. Utilize a pressão adequada e leve em consideração as recomendações e instruções técnicas fornecidas pelo aplicativo."
Aprovação simplificada da estrutura apenas para o agricultor (Reino Unido),Internacional,Não,Landwirtschaftsverlag GMBH,Orientação Técnica,Antes ,Análise de solo e plantas,Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Não,Digitalização,Acessível a terceiros,https://apps.apple.com/us/app/simple-soil-structure-assessment-for-the-farmer/id882487664,"Este trabalho apresenta um método simplificado para avaliação da estrutura do solo, com o objetivo de auxiliar na análise do seu estado atual em contextos de plantio direto e manejo do tráfego agrícola. A avaliação considera diferentes camadas do perfil do solo: superficial, superficial cultivada, base da camada superficial e subsolo adjacente, examinando aspectos como organização estrutural, penetração radicular, atividade biológica (como a presença de insetos) e incorporação de resíduos."
Agrofocal,Uruguai,Não,Agrofocal,Orientação Técnica,Durante,Diagnóstico por Imagem e Identificação,Aplicativo,Meios de comunicação de massa,Produtor,"Específicos (uva, laranja, morango)",Freemium,Produtor ↔ Conteúdo/Plataforma,Privado,Setor Privado,Multilíngue,Não,Sim,Transformação Digital,Acessível a terceiros,"https://agrofocal.ai/
https://apps.apple.com/us/app/agrofocal/id1643921543","A Agrofocal Technologies desenvolve um sistema digital de monitoramento de culturas focado no acompanhamento da produtividade e saúde das plantas. O aplicativo Agrofocal permite que os usuários utilizem esse sistema diretamente no campo, facilitando o registro e o monitoramento das culturas em tempo real. Ele também possibilita a transmissão de vídeos das áreas cultivadas para análise técnica, contribuindo para a observação do desenvolvimento da cultura e a identificação de potenciais problemas ao longo do ciclo de produção.

"
Ater+ Digital,Brasil,Sim,Embrapa,Orientação Técnica,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Extensionista,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Português,Sim,Sim,Digitalização,Acessível a terceiros,https://www.atermaisdigital.cnptia.embrapa.br/,"Esta plataforma oferece uma ampla gama de conteúdo e ferramentas digitais para apoiar o trabalho dos agentes de extensão rural. Isso inclui um repositório de vídeos, arquivos de áudio, aplicativos, guias técnicos, infográficos e cursos online, organizados por áreas temáticas."
Ferramentas de impacto - ;,Brasil,Sim,ManejeBem,Orientação Técnica,Durante,Consultoria e Assistência Técnica,Aplicativo,Interpessoal,Extensionista,"Específico (vegetais, agroecologia)",Pagar ,Produtor ↔ Extensionista,Privado,Comece,Português,Sim,Não,Transformação Digital,Acessível a terceiros,https://manejebem.com/impactools-operacao/,"Trata-se de uma solução digital voltada para o planejamento, registro e monitoramento e avaliação de ações em campo, permitindo: gestão operacional de atividades (visitas técnicas, cronogramas e responsáveis); coleta estruturada de dados de campo; monitoramento de indicadores e resultados; geração de relatórios que apoiam a prestação de contas, a avaliação de impacto e a gestão de projetos; e suporte às equipes técnicas e aos programas da ATER, integrando informações operacionais e analíticas."
AgroAssist,Brasil,Sim,ManejeBem, Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Aplicativo,Não aplicável,Extensionista,Em geral,Pagar ,Extensionista ↔ Conteúdo/Plataforma,Privado,Comece,Português,Sim,Não,Transformação Digital,Acessível a terceiros,https://manejebem.com/impactools-agroassist/,"Uma solução integrada ao WhatsApp que utiliza inteligência artificial para transformar áudio, fotos, textos e documentos enviados pelo técnico em registros e relatórios estruturados, facilitando o rastreamento técnico, o gerenciamento de atividades em campo e a avaliação de resultados."
Minha propriedade rural,Brasil,Sim,Governo Federal do Brasil, Gerenciamento,Antes ,"Gestão de Documentos, Certificações, Registros e Regularização",Site + Aplicativo,Interpessoal,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Português,Não,Sim,Digitação,Acessível a terceiros,https://www.gov.br/gestao/pt-br/assuntos/meu-imovel-rural,"Aplicativo que reúne, em um único ambiente digital, os principais documentos e informações sobre imóveis e bens no Brasil."
Serviços e informações do Brasil - Gov.br,Brasil,Sim,Governo Federal do Brasil, Gerenciamento,Antes ,Serviços de crédito e financiamento,Site + Aplicativo,Interpessoal,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Português,Não,Sim,Digitação,Acessível a terceiros,https://www.gov.br/pt-br/perfil_usuario/agricultor,"Plataforma digital que centraliza, em um único espaço, serviços e informações destinados a agricultores, como cadastro de propriedades rurais, acesso a créditos e benefícios, capacitação, inovação tecnológica e direitos do produtor rural."
Agrotrace (agente de extensão),Brasil,Sim,SII, Gerenciamento,Durante,Consultoria e Assistência Técnica,Aplicativo,Interpessoal,Extensionista,Em geral,Pagar ,Produtor ↔ Extensionista,Privado,Comece,Português,Não,Sim,Digitalização,Acessível a terceiros,https://www.agrotrace.com.br/,"Oferece ferramentas para monitorar as fazendas atendidas, registrar visitas e orientações técnicas, monitorar indicadores produtivos e socioambientais, gerar relatórios e apoiar a gestão e avaliação dos programas ATER."
Agrotrace (produtor),Brasil,Sim,SII, Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Aplicativo,Interpessoal,Produtor,Em geral,Pagar ,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Português,Não,Sim,Digitalização,Acessível a terceiros,https://www.agrotrace.com.br/,"Permite registar informações sobre produção, insumos e manuseio, organizar dados da fazenda, cumprir requisitos de rastreabilidade e certificação, demonstrar a origem e a qualidade dos produtos e facilitar o acesso a mercados que exigem transparência e conformidade socioambiental."
Verifique o leite,Brasil,Não,SII,Orientação Técnica,Durante,Monitoramento e gerenciamento integrados da produção,Site + Aplicativo,Interpessoal,Extensionista,Específico (leite),Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Português,Não,Sim,Digitalização,Acessível a terceiros,https://www.checkmilk.com.br/,"Uma plataforma digital focada na gestão da qualidade do leite, que permite o monitoramento de indicadores de produção e saúde, o registro de análises laboratoriais, o acompanhamento do cumprimento das normas de qualidade, o apoio à tomada de decisões na fazenda e o fortalecimento da rastreabilidade."
Agritempo,Brasil,Sim,Embrapa,Orientação Técnica,Durante,"Meteorologia, clima e irrigação",Site + Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Português,Não,Sim,Digitalização,Acessível a terceiros,https://www.agritempo.gov.br/br/,"Um Sistema de Monitoramento Agrometeorológico que permite aos usuários acessar, via internet, informações meteorológicas e agrometeorológicas de diversos municípios e estados brasileiros. O sistema recebe dados diários de mais de 1.600 estações meteorológicas pertencentes a diferentes instituições, fornecendo informações que auxiliam na redução de custos e no aumento da produtividade."
Zarc - Plantio Certo,Brasil,Sim,Embrapa,Orientação Técnica,Durante,"Meteorologia, clima e irrigação",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Português,Não,Sim,Digitalização,Acessível a terceiros,https://www.plantiocerto.cnptia.embrapa.br/,"A ferramenta mostra as melhores datas de plantio para diversas culturas no Brasil. Ela obtém dados do Zoneamento Agropecuário de Risco Climático (ZARC), permitindo que produtores de cada município identifiquem a melhor época de plantio de acordo com os diferentes tipos de solo e ciclos de produção."
Produtor da SENAR conecta,Brasil,Não,SENAR,Orientação Técnica,Durante,Consultoria e Assistência Técnica,Site + Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Outro,Português,Sim,Sim,Digitalização,Acessível a terceiros,https://apps.apple.com/br/app/conecta-produtor-senar/id6502522051,"Aplicativo de gestão e monitoramento de assistência técnica que permite aos produtores rurais organizar informações de produção e financeiras, registrar dados e monitorar visitas técnicas em um único ambiente digital."
SENAR Play,Brasil,Sim,SENAR,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Outro,Português,Não,Sim,Digitalização,Acessível a terceiros,https://ead.senar.org.br/aplicativo-senar,"Uma plataforma digital que oferece vídeos, cursos e conteúdo educacional online voltado para a formação de produtores rurais, trabalhadores agrícolas e técnicos agrícolas."
Sistema COMPINST,Brasil,Não,Emater,Comercialização,Depois,Vendas governamentais,Site,Não aplicável,Produtor,Em geral,Não aplicável,Extensionista ↔ Conteúdo/Plataforma,Público,Empresa ATER / Serviço Público de Extensão,Português,Sim,Sim,Digitalização,Uso interno (institucional),https://new.emater.df.gov.br/,"O sistema COMPINST permite que todo o processo de contratação pública do Programa de Aquisição de Alimentos (PAA) — desde a confirmação da proposta até a coordenação logística e o registro das operações — seja realizado de forma totalmente digital, agilizando e organizando a gestão entre agentes de extensão rural e agricultores."
Monitor das secas,Brasil,Não,ANN,Orientação Técnica,Durante,"Meteorologia, clima e irrigação",Site + Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Ministério / Governo Federal,Português,Não,Sim,Digitalização,Acessível a terceiros,https://monitordesecas.ana.gov.br/mapa?mes=10&ano=2025,"Ferramenta de monitoramento climático que fornece informações em tempo real sobre condições de seca e estresse hídrico. Ela oferece alertas precoces para produtores e agentes de extensão rural, permitindo o gerenciamento proativo de riscos e o planejamento de ações de mitigação integradas à ATER (Área Territorial de Redução Agrícola)."
Rede Aurora,Brasil,Não,USP,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Site,Meios de comunicação de massa,Extensionista,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Universidade,Português,Não,Sim,Digitalização,Acessível a terceiros,https://www.youtube.com/@redeauroraater,Rede social e canal do YouTube que reúne conteúdo e casos práticos sobre ATER em ambientes de comunicação digital.
Zap Rural,Brasil,Não,EPAGRI,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Grupos de mensagens,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa ATER / Serviço Público de Extensão,Português,Sim,Sim,Digitalização,Acessível a terceiros,https://whatsapp.com/channel/0029Va6gqE27NoZtKtkHsu0K,"Uma iniciativa de divulgação digital que utiliza o WhatsApp para fornecer conteúdo e orientações práticas diretamente a agricultores familiares. A iniciativa consiste no envio semanal de vídeos curtos e mensagens sobre temas como gestão sustentável, produção de alimentos, organização da produção e segurança alimentar."
Hortificar,Brasil,Não,Hortificar, Gerenciamento,Durante,Monitoramento e gerenciamento integrados da produção,Aplicativo,Interpessoal,Produtor,Específicos (vegetais),Pagar ,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Português,Não,Sim,Digitalização,Acessível a terceiros,https://hortify.app/ ,"Uma plataforma que agrega dados de produção, mão de obra, estoque e financeiros, integrada a algoritmos que auxiliam na tomada de decisões. Além disso, a plataforma atende às exigências do governo brasileiro, incorporando um processo de rastreabilidade."
Prosa rural,Brasil,Não,Embrapa,Orientação Técnica,Durante,"Conteúdo, Educação e Redes Sociais",Site + Aplicativo,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Português,Não,Não,Digitalização,Acessível a terceiros,https://play.google.com/store/apps/details?id=com.prosa.rural,"Oferece acesso a arquivos de áudio de programas de rádio produzidos pela Embrapa, bem como à rádio online da Prosa Rural. Os arquivos de áudio e os programas de rádio online estão categorizados por região."
Controle de Praga,Brasil,Sim,Embrapa,Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Site + Aplicativo,Não aplicável,Extensionista,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Português,Não,Sim,Digitalização,Acessível a terceiros,https://www.atermaisdigital.cnptia.embrapa.br/web/controle-de-pragas/pragas,"A ferramenta reúne informações técnicas sobre pragas agrícolas, incluindo identificação, características, culturas afetadas e diretrizes de manejo e controle. Ela auxilia produtores e técnicos de extensão rural no diagnóstico de pragas e na tomada de decisões."
Bioinsumos,Brasil,Sim,Embrapa,Orientação Técnica,Antes ,"Manejo e Controle de Pragas (Biológico, Natural e Químico)",Site + Aplicativo,Não aplicável,Extensionista,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Empresa de Pesquisa Pública,Português,Não,Sim,Digitalização,Acessível a terceiros,https://www.embrapa.br/busca-de-solucoes-tecnologicas/-/produto-servico/7227/aplicativo-bioinsumos,"A aplicação resulta do Programa de Bioinsumos do Ministério da Agricultura, Pecuária e Abastecimento (MAPA) e visa consolidar um Catálogo Nacional de Bioinsumos para facilitar e promover o acesso à informação sobre os produtos disponíveis para utilização e onde encontrá-los."
Sinalização digital,Brasil,Não,Central 12,Comercialização,Depois,"Segurança alimentar, rastreabilidade e narrativa do produto",Site,Não aplicável,Produtor,Em geral,Pagar,Produtor ↔ Conteúdo/Plataforma,Privado,Comece,Português,Não,Sim,Digitalização,Acessível a terceiros,https://central12.com.br/,"Um rótulo digital acessível por meio de código QR que centraliza e disponibiliza informações detalhadas sobre o produto — como origem, rastreabilidade, processos de produção, certificações e aspectos de sustentabilidade — fortalecendo a transparência e a comunicação direta entre marcas agrícolas e consumidores."
INCRALEGIS,Brasil,Não,CEGAFI- UnB,Aprendizado,Durante,"Conteúdo, Educação e Redes Sociais",Aplicativo,Interpessoal,Extensionista,Em geral,Gratuito,Extensionista ↔ Conteúdo/Plataforma,Público,Universidade,Português,Sim,Sim,Digitação,Acessível a terceiros,https://www.cegafiunb.com/aplicativos/,"Facilita o acesso à legislação agrária brasileira. Abrange temas como desapropriação para reforma agrária, licenciamento ambiental, georreferenciamento, regularização fundiária, restituição de posse de terras públicas, alocação de bens imóveis, titulação e territórios quilombolas."
Põe na Cesta,Brasil,Não,Emater-DF,Comercialização,Depois,Plataformas de loja online (e-commerce) e marketplace,Site,Meios de comunicação de massa,Produtor,Em geral,Gratuito,Produtor ↔ Conteúdo/Plataforma,Público,Empresa ATER / Serviço Público de Extensão,Português,Não,Sim,Digitalização,Acessível a terceiros,https://dfrural.emater.df.gov.br/poenacesta/,"A ferramenta digital da Emater-DF conecta produtores e consumidores rurais, facilitando a distribuição e a venda de produtos alimentícios locais. Através da plataforma, os usuários podem localizar produtores, conhecer os tipos de produtos oferecidos, sua origem e informações de contato, fortalecendo a economia local e promovendo o consumo de alimentos frescos e de alta qualidade, sem taxas ou intermediação financeira."
